"lead_id","created_at","source","campaign_id","triage_category","lead_status","lead_score","company_size","industry","persona","region","preferred_channel","gdpr_consent","email","phone","assigned_engagement_agent","last_active_at"
"L0000044","2025-06-24T04:15:50","Google Ads","CMP0008","General Inquiry","Converted","53","51-200","HealthTech","Engineer","India","SMS","False","moysho@example.com","+1-756-588-7464","EN-012","2025-07-08T09:34:40"
"L0000045","2025-06-26T09:36:26","Website","CMP0023","Campaign Qualified","Converted","30","5000+","EdTech","Engineer","MEA","Social","True","vhohct@example.com","+1-445-448-1831","EN-017","2025-07-18T07:27:36"
"L0000046","2025-06-15T05:05:49","Website","CMP0014","Campaign Qualified","Open","45","5000+","FinTech","Founder","LATAM","Social","False","qwmqth@example.com","+1-492-861-1969","EN-003","2025-08-17T13:03:47"
"L0000047","2025-08-20T11:39:19","Website","CMP0024","Cold Lead","Converted","50","11-50","Retail","CMO","US","SMS","False","etwhah@example.com","+1-817-309-6489","EN-010","2025-08-25T23:59:38"
"L0000048","2025-08-14T11:57:49","Google Ads","CMP0029","General Inquiry","Unqualified","81","201-1000","EdTech","CMO","US","Ads","True","tqsaih@example.com","+1-890-975-4164","EN-006","2025-08-24T08:10:43"
"L0000049","2025-07-23T01:14:29","Google Ads","CMP0003","Campaign Qualified","New","66","11-50","Media","Marketing Manager","EU","Email","False","jlgipo@example.com","+1-467-869-6890","EN-008","2025-07-26T01:37:17"
"L0000050","2025-05-23T22:58:03","Referral","CMP0006","Campaign Qualified","Open","24","5000+","EdTech","Engineer","US","Call","False","jfymlz@example.com","+1-582-625-9998","EN-016","2025-08-05T11:43:19"
"L0000051","2025-08-13T09:00:50","Outbound","CMP0027","Campaign Qualified","New","66","1001-5000","E‑commerce","Procurement","MEA","Web","True","jxcvxf@example.com","+1-749-353-3695","EN-011","2025-08-26T00:08:05"
"L0000052","2025-07-25T19:07:34","Website","CMP0007","Cold Lead","Open","52","1001-5000","Media","Founder","MEA","Social","True","kooria@example.com","+1-460-203-4570","EN-019","2025-07-29T08:12:42"
"L0000053","2025-05-09T19:03:56","Referral","CMP0023","Campaign Qualified","Converted","46","1-10","Media","Founder","APAC","SMS","True","ttzqkz@example.com","+1-591-659-7184","EN-013","2025-05-25T09:03:27"
"L0000054","2025-08-13T17:19:17","Website","CMP0028","Campaign Qualified","New","72","1001-5000","Retail","Procurement","EU","Call","True","vtzmsl@example.com","+1-588-435-5055","EN-015","2025-08-22T02:58:26"
"L0000055","2025-05-31T02:55:04","LinkedIn","CMP0030","General Inquiry","Qualified","80","1-10","Retail","Procurement","US","Social","True","bplrwg@example.com","+1-245-611-8191","EN-008","2025-07-22T12:38:57"
"L0000056","2025-06-12T04:32:52","Event","CMP0025","Campaign Qualified","Open","78","51-200","HealthTech","Engineer","LATAM","Ads","True","prihdr@example.com","+1-426-623-5923","EN-009","2025-06-18T02:35:21"
"L0000057","2025-08-17T02:29:40","Outbound","CMP0029","Cold Lead","New","43","5000+","Retail","Procurement","MEA","Email","False","yruikd@example.com","+1-585-388-9813","EN-016","2025-08-20T00:40:53"
"L0000058","2025-06-13T18:10:54","LinkedIn","CMP0023","Campaign Qualified","Open","53","1-10","Retail","Sales Lead","LATAM","Web","True","kgiclj@example.com","+1-748-941-4120","EN-002","2025-07-09T19:44:33"
"L0000059","2025-07-13T05:43:48","Google Ads","CMP0020","Campaign Qualified","New","66","1001-5000","HealthTech","Sales Lead","EU","Ads","False","yayzdz@example.com","+1-690-448-4350","EN-013","2025-08-26T15:55:46"
"L0000060","2025-06-16T11:21:47","Google Ads","CMP0025","Campaign Qualified","Open","79","5000+","Manufacturing","Marketing Manager","APAC","Ads","True","wmusti@example.com","+1-408-579-6126","EN-014","2025-06-20T21:53:15"
"L0000061","2025-08-18T05:33:18","Outbound","CMP0024","Campaign Qualified","New","50","1001-5000","Retail","Marketing Manager","EU","Social","False","fogoyi@example.com","+1-981-700-9037","EN-015","2025-08-20T06:33:23"
"L0000062","2025-07-08T09:15:35","Website","CMP0024","Cold Lead","New","56","1001-5000","SaaS","Procurement","US","Email","True","badqbd@example.com","+1-423-717-8471","EN-012","2025-07-14T06:07:07"
"L0000063","2025-08-02T19:53:40","Google Ads","CMP0001","Campaign Qualified","Open","37","1-10","SaaS","Procurement","India","Ads","True","zavrux@example.com","+1-309-298-9591","EN-005","2025-08-14T12:38:36"
"L0000064","2025-06-07T06:28:05","Google Ads","CMP0009","Cold Lead","New","36","201-1000","E‑commerce","Marketing Manager","MEA","SMS","True","gshvcz@example.com","+1-865-977-1519","EN-003","2025-07-16T14:50:05"
"L0000065","2025-07-13T15:29:54","LinkedIn","CMP0016","Campaign Qualified","New","76","11-50","E‑commerce","Sales Lead","MEA","Call","False","owcnbf@example.com","+1-908-780-8790","EN-009","2025-07-15T21:44:49"
"L0000066","2025-05-15T10:29:13","Google Ads","CMP0009","General Inquiry","Open","87","1-10","FinTech","Marketing Manager","US","Social","True","dvvyho@example.com","+1-780-598-9856","EN-011","2025-07-28T23:20:23"
"L0000067","2025-05-28T04:13:01","Event","CMP0023","Cold Lead","Open","58","51-200","SaaS","Founder","MEA","Social","True","itykua@example.com","+1-479-661-9038","EN-008","2025-07-01T17:19:01"
"L0000068","2025-08-16T09:20:33","Outbound","CMP0014","Campaign Qualified","Open","80","201-1000","E‑commerce","Procurement","APAC","Social","True","bgjuek@example.com","+1-569-309-2499","EN-001","2025-08-23T20:55:16"
"L0000069","2025-07-26T08:37:09","LinkedIn","CMP0009","Campaign Qualified","New","67","201-1000","Media","Procurement","LATAM","Web","False","ccopuw@example.com","+1-212-498-7779","EN-013","2025-07-30T11:18:04"
"L0000070","2025-08-17T15:37:45","Outbound","CMP0008","Cold Lead","New","47","201-1000","FinTech","CMO","APAC","Ads","False","mblkmb@example.com","+1-457-452-9123","EN-020","2025-08-25T03:14:49"
"L0000071","2025-06-07T23:19:14","Referral","CMP0005","Campaign Qualified","Converted","67","51-200","Retail","Marketing Manager","MEA","Ads","False","vwzdiy@example.com","+1-405-690-6147","EN-006","2025-07-16T15:17:09"
"L0000072","2025-07-01T23:17:21","LinkedIn","CMP0023","Cold Lead","Converted","90","11-50","Manufacturing","Sales Lead","APAC","SMS","False","coporo@example.com","+1-944-672-4434","EN-015","2025-07-30T06:08:24"
"L0000073","2025-05-14T10:18:09","Outbound","CMP0026","Cold Lead","Qualified","59","11-50","EdTech","CMO","APAC","Call","True","subzmk@example.com","+1-718-908-7853","EN-018","2025-05-21T13:38:26"
"L0000074","2025-07-09T19:31:43","Event","CMP0026","Cold Lead","Qualified","91","1-10","E‑commerce","CMO","India","Call","False","epoqqz@example.com","+1-539-640-2735","EN-001","2025-07-19T09:17:54"
"L0000075","2025-06-20T05:48:29","Website","CMP0024","Cold Lead","Open","7","1001-5000","HealthTech","Sales Lead","APAC","SMS","False","upniac@example.com","+1-625-287-2901","EN-005","2025-07-24T01:28:21"
"L0000076","2025-06-30T13:30:51","LinkedIn","CMP0026","Campaign Qualified","Open","76","201-1000","E‑commerce","Sales Lead","India","Call","False","ihvcwq@example.com","+1-893-368-4996","EN-017","2025-07-17T12:01:10"
"L0000077","2025-08-16T04:05:18","Website","CMP0018","Campaign Qualified","Open","61","201-1000","FinTech","CMO","India","Call","False","ktwlla@example.com","+1-419-410-5560","EN-003","2025-08-18T15:21:47"
"L0000078","2025-08-13T06:05:02","Website","CMP0011","Campaign Qualified","New","54","5000+","Media","Procurement","India","Ads","True","kkcjle@example.com","+1-889-922-5873","EN-020","2025-08-27T13:52:54"
"L0000079","2025-05-17T10:58:22","Google Ads","CMP0011","Campaign Qualified","New","61","11-50","Manufacturing","Engineer","EU","Web","False","kdjeqs@example.com","+1-860-377-3733","EN-016","2025-07-12T13:02:25"
"L0000080","2025-05-28T05:49:45","Website","CMP0027","Campaign Qualified","New","20","51-200","SaaS","Sales Lead","EU","Social","False","znmrkv@example.com","+1-700-371-2354","EN-019","2025-05-31T05:44:23"
"L0000081","2025-06-12T19:44:31","LinkedIn","CMP0009","Campaign Qualified","New","55","201-1000","Media","Procurement","LATAM","Email","True","cuvjvb@example.com","+1-936-651-9951","EN-007","2025-07-24T02:25:27"
"L0000082","2025-05-20T21:17:42","Event","CMP0021","Cold Lead","New","67","1-10","Media","Marketing Manager","APAC","Email","False","wdvftr@example.com","+1-927-824-8015","EN-006","2025-06-16T22:10:37"
"L0000083","2025-06-10T02:55:02","Outbound","CMP0026","Campaign Qualified","Open","89","51-200","FinTech","Marketing Manager","India","Ads","False","oynxvd@example.com","+1-968-621-1971","EN-009","2025-08-12T19:15:58"
"L0000084","2025-05-25T15:20:30","Event","CMP0005","Campaign Qualified","Qualified","49","11-50","Retail","Sales Lead","EU","Web","True","gklqwc@example.com","+1-727-967-5558","EN-012","2025-07-08T18:51:33"
"L0000085","2025-08-03T18:27:07","LinkedIn","CMP0001","General Inquiry","Unqualified","43","1-10","Media","Engineer","India","Call","False","wukzvm@example.com","+1-530-490-6533","EN-018","2025-08-10T02:36:18"
"L0000086","2025-08-18T22:24:48","Outbound","CMP0026","Campaign Qualified","Qualified","49","1-10","SaaS","Founder","India","SMS","True","dwlayf@example.com","+1-905-335-5945","EN-006","2025-08-22T06:13:38"
"L0000087","2025-05-19T02:59:45","Google Ads","CMP0009","Campaign Qualified","Qualified","78","5000+","FinTech","Founder","MEA","Call","False","stlccf@example.com","+1-279-335-4705","EN-017","2025-08-13T13:09:28"
"L0000088","2025-05-02T19:16:49","Website","CMP0011","Cold Lead","Converted","66","201-1000","FinTech","Sales Lead","US","Social","False","cucjhj@example.com","+1-971-336-3340","EN-003","2025-08-13T19:37:40"
"L0000089","2025-08-18T09:07:38","Website","CMP0021","Campaign Qualified","Open","49","11-50","FinTech","Sales Lead","LATAM","Call","False","wcctpj@example.com","+1-639-522-3290","EN-008","2025-08-21T17:47:59"
"L0000090","2025-05-17T08:37:38","Website","CMP0020","Cold Lead","Qualified","70","5000+","SaaS","Engineer","APAC","Social","True","pekquu@example.com","+1-445-706-7322","EN-004","2025-07-03T04:08:58"
"L0000091","2025-08-06T00:13:24","Google Ads","CMP0003","Cold Lead","Converted","61","51-200","Manufacturing","CMO","MEA","Web","False","jrtyua@example.com","+1-269-214-5295","EN-007","2025-08-06T23:25:26"
"L0000092","2025-05-12T17:48:19","Outbound","CMP0013","Cold Lead","Qualified","79","1001-5000","Retail","Sales Lead","India","SMS","True","qndccx@example.com","+1-359-749-6353","EN-013","2025-05-25T13:55:26"
"L0000093","2025-06-30T05:29:40","Google Ads","CMP0024","General Inquiry","New","45","11-50","E‑commerce","Sales Lead","US","SMS","True","pittds@example.com","+1-918-211-3684","EN-016","2025-08-02T21:22:33"
"L0000094","2025-08-10T13:22:53","Google Ads","CMP0027","Cold Lead","New","53","11-50","EdTech","Engineer","US","Email","False","uhbsoc@example.com","+1-666-723-6900","EN-002","2025-08-22T16:25:31"
"L0000095","2025-08-19T01:52:51","Website","CMP0006","Campaign Qualified","New","52","1001-5000","E‑commerce","CMO","India","Web","True","bwgmjd@example.com","+1-236-766-7870","EN-008","2025-08-22T23:36:44"
"L0000096","2025-06-18T04:59:25","Referral","CMP0024","Campaign Qualified","Unqualified","30","1001-5000","Manufacturing","Founder","LATAM","Call","True","euzybm@example.com","+1-489-992-6090","EN-011","2025-06-26T14:16:59"
"L0000097","2025-08-16T09:35:33","Referral","CMP0012","Campaign Qualified","Open","65","51-200","HealthTech","Sales Lead","APAC","Web","False","zutoud@example.com","+1-619-224-4817","EN-018","2025-08-24T19:23:56"
"L0000098","2025-05-02T20:42:54","Partner","CMP0001","Cold Lead","Open","65","5000+","EdTech","Founder","EU","Web","True","kyzdhb@example.com","+1-437-732-7767","EN-012","2025-07-30T21:17:03"
"L0000099","2025-05-17T11:40:26","Google Ads","CMP0017","Campaign Qualified","Unqualified","60","1-10","SaaS","Sales Lead","India","Social","True","hwykvi@example.com","+1-663-478-4827","EN-003","2025-06-25T20:22:59"
"L0000100","2025-05-27T10:19:37","Event","CMP0019","Campaign Qualified","New","55","201-1000","Media","Marketing Manager","MEA","Email","True","julmwc@example.com","+1-902-511-1660","EN-007","2025-08-16T14:10:22"
"L0000101","2025-07-03T15:37:45","Website","CMP0023","Campaign Qualified","Open","31","1001-5000","SaaS","Engineer","APAC","Ads","True","akltgm@example.com","+1-343-324-1195","EN-002","2025-07-25T05:35:53"
"L0000102","2025-05-26T09:10:37","Website","CMP0013","Campaign Qualified","Qualified","51","5000+","E‑commerce","Procurement","LATAM","Ads","True","abxldx@example.com","+1-539-325-1699","EN-015","2025-05-31T07:10:16"
"L0000103","2025-06-02T14:53:11","Outbound","CMP0014","Cold Lead","Open","53","1-10","Retail","Engineer","MEA","Social","False","fehwaq@example.com","+1-451-862-5835","EN-016","2025-07-12T14:53:52"
"L0000104","2025-08-15T22:23:42","Referral","CMP0003","Campaign Qualified","New","43","11-50","HealthTech","Engineer","LATAM","Email","False","ujomxn@example.com","+1-597-476-3946","EN-001","2025-08-23T16:09:16"
"L0000105","2025-08-24T22:45:50","Website","CMP0029","Cold Lead","New","56","201-1000","Manufacturing","Procurement","EU","Social","True","ggnutt@example.com","+1-424-789-7363","EN-012","2025-08-26T00:03:45"
"L0000106","2025-06-04T04:41:13","Website","CMP0011","Cold Lead","Qualified","68","1001-5000","SaaS","Engineer","India","Ads","True","ooezwm@example.com","+1-516-379-9035","EN-002","2025-06-12T23:00:06"
"L0000107","2025-05-11T21:45:42","Website","CMP0008","Campaign Qualified","Open","97","51-200","HealthTech","CMO","APAC","Call","True","xviapx@example.com","+1-992-313-9622","EN-012","2025-05-25T23:47:00"
"L0000108","2025-07-12T13:03:33","Event","CMP0022","Campaign Qualified","New","63","51-200","Manufacturing","CMO","EU","Call","False","uyqezs@example.com","+1-828-565-4657","EN-019","2025-08-21T01:58:01"
"L0000109","2025-06-04T01:11:52","LinkedIn","CMP0024","Cold Lead","New","65","5000+","SaaS","Engineer","LATAM","SMS","True","apxzfo@example.com","+1-708-344-6425","EN-003","2025-06-27T03:46:06"
"L0000110","2025-07-07T08:15:08","Partner","CMP0006","Cold Lead","Converted","58","5000+","Manufacturing","Sales Lead","US","Ads","True","gbgcak@example.com","+1-950-629-3725","EN-014","2025-08-24T05:12:59"
"L0000111","2025-07-13T12:55:42","LinkedIn","CMP0013","Campaign Qualified","Open","21","1001-5000","HealthTech","CMO","MEA","Email","True","hiybej@example.com","+1-949-276-9962","EN-003","2025-07-29T22:40:09"
"L0000112","2025-08-24T08:22:58","Partner","CMP0029","Campaign Qualified","New","59","5000+","FinTech","Procurement","MEA","Social","True","cfesss@example.com","+1-471-876-5612","EN-010","2025-08-25T18:58:41"
"L0000113","2025-05-19T15:00:02","Website","CMP0019","Cold Lead","Open","61","1-10","Manufacturing","Founder","MEA","Email","False","vqmcfq@example.com","+1-283-684-2892","EN-010","2025-08-04T19:19:57"
"L0000114","2025-07-31T10:45:36","Referral","CMP0022","Campaign Qualified","Qualified","100","201-1000","FinTech","Marketing Manager","MEA","Ads","True","lgmfgb@example.com","+1-970-913-2584","EN-003","2025-08-17T03:18:21"
"L0000115","2025-08-14T03:20:06","Referral","CMP0025","Cold Lead","Open","56","201-1000","Retail","Procurement","India","SMS","True","wmcxsn@example.com","+1-729-785-3415","EN-004","2025-08-25T00:55:10"
"L0000116","2025-06-03T13:40:27","Outbound","CMP0006","General Inquiry","Unqualified","66","11-50","SaaS","Sales Lead","US","Call","False","fvdpis@example.com","+1-268-289-7358","EN-018","2025-07-12T03:34:42"
"L0000117","2025-08-16T04:45:32","LinkedIn","CMP0009","Cold Lead","Converted","59","1-10","Retail","Founder","MEA","Social","True","opzccu@example.com","+1-492-748-6633","EN-014","2025-08-22T14:37:46"
"L0000118","2025-07-14T09:06:43","Google Ads","CMP0019","Cold Lead","New","36","51-200","Retail","CMO","LATAM","Web","True","sbxigt@example.com","+1-475-581-1331","EN-011","2025-08-23T01:26:08"
"L0000119","2025-06-28T20:20:18","LinkedIn","CMP0027","Campaign Qualified","Qualified","82","1-10","HealthTech","CMO","APAC","Call","False","uispcl@example.com","+1-616-958-8937","EN-017","2025-08-04T03:36:44"
"L0000120","2025-05-11T21:56:17","Google Ads","CMP0006","Campaign Qualified","Qualified","75","201-1000","FinTech","Procurement","LATAM","Email","True","fvvglx@example.com","+1-921-403-5488","EN-012","2025-08-10T01:21:10"
"L0000121","2025-08-07T02:03:34","LinkedIn","CMP0030","Campaign Qualified","New","75","51-200","Media","Procurement","MEA","Social","False","pjextr@example.com","+1-491-228-7333","EN-002","2025-08-11T00:57:35"
"L0000122","2025-08-20T02:54:57","Event","CMP0007","General Inquiry","Qualified","41","5000+","HealthTech","Marketing Manager","India","SMS","True","autaxq@example.com","+1-815-208-4666","EN-009","2025-08-27T12:06:31"
"L0000123","2025-06-29T07:32:43","Event","CMP0023","Cold Lead","Open","88","201-1000","Manufacturing","Sales Lead","APAC","Social","False","hnqpaz@example.com","+1-583-774-5631","EN-010","2025-07-09T19:26:49"
"L0000124","2025-08-02T13:03:49","Website","CMP0009","Cold Lead","Unqualified","31","51-200","EdTech","CMO","EU","Web","True","xuuprr@example.com","+1-938-226-9148","EN-010","2025-08-15T03:19:01"
"L0000125","2025-07-21T06:39:26","Referral","CMP0024","Campaign Qualified","Qualified","71","1001-5000","HealthTech","Marketing Manager","India","Call","True","rqmyjh@example.com","+1-374-873-3967","EN-010","2025-07-26T00:22:22"
"L0000126","2025-07-31T09:59:52","Website","CMP0009","Cold Lead","Open","100","11-50","Manufacturing","Engineer","US","Social","False","fwkxjp@example.com","+1-674-320-8709","EN-002","2025-08-28T17:54:41"
"L0000127","2025-08-21T16:27:18","Outbound","CMP0003","Campaign Qualified","New","40","1-10","Retail","Procurement","APAC","SMS","True","wdzizx@example.com","+1-668-346-6183","EN-006","2025-08-22T15:59:34"
"L0000128","2025-08-03T16:17:29","LinkedIn","CMP0006","Campaign Qualified","New","48","201-1000","EdTech","CMO","EU","Web","True","mtcpqk@example.com","+1-688-592-1076","EN-002","2025-08-13T08:37:32"
"L0000129","2025-07-12T10:46:42","Partner","CMP0029","Campaign Qualified","Unqualified","61","11-50","SaaS","Engineer","US","Call","True","gsidjp@example.com","+1-371-266-1749","EN-010","2025-08-27T11:49:05"
"L0000130","2025-06-26T11:21:20","Referral","CMP0017","Cold Lead","New","49","5000+","FinTech","Marketing Manager","MEA","Ads","True","exvafz@example.com","+1-416-951-1359","EN-019","2025-08-14T11:14:13"
